流水號,大類別,From,網址,created_time,post_type,postID,post_message,status_type,link,轉貼標題(name),留言數,按讚數,分享數,update_time
41,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1149339835085816,11:50:00 AM,photo,515316421821497_1149339835085816,【午後每日一句】The best compliment is when someone tells you that you make them want to be a better person.最好的讚美是當有人跟你說：為了你，我想要變得更好。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/frbcBA▷iOS：https://goo.gl/XEsLBx◇圖片來源：https://goo.gl/NVAhLA,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1149339835085816/?type=3,Timeline Photos,6,964,102,3/26/2016 12:58
122,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138048846214915,11:50:00 AM,photo,515316421821497_1138048846214915,【午後每日一句】Take a risk. If the outcome isn’t what you expected， at least you can say you tried.冒險一試，就算結果不是你所期望的，至少你可以說你已經試過了◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138048846214915/?type=3,Timeline Photos,9,932,94,3/13/2016 19:13
43,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1148627401823726,7:00:00 PM,link,515316421821497_1148627401823726,聽音樂學英文回來了！這次帶給你激勵人心歌曲，為你在壞天氣裡也能有好心情除了這些，你平常都聽什麼勵志英文歌呢？http://goo.gl/QT0SuJ,shared_story,http://goo.gl/QT0SuJ,【聽音樂學英文】You are a fighter! 陪你度過低潮的激勵英文歌單,10,918,545,3/26/2016 2:17
27,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1151154121571054,7:00:00 PM,link,515316421821497_1151154121571054,不論是傳訊息道晚安、打電話叫女友起床、睡過頭遲到徹夜未眠、熬夜打電動、或亂發起床氣⋯⋯以上發生在你日常生活的小事，要怎麼用英文表達呢？快拿出你的筆記！道地說法，讓 VT 拉近你和外國人的距離！http://goo.gl/hiLQfy,shared_story,http://goo.gl/hiLQfy,【道地英文】sleep over 不是「睡過頭」！那賴床、起床氣、補眠、愛睏的英文你會說嗎？每天都用得到的各種「睡覺」和「起床」英文片語！,1,826,385,3/27/2016 22:30
146,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1137068059646327,11:50:01 AM,photo,515316421821497_1137068059646327,【午後每日一句】Don't cry because it is over， smile because it happened. 不要因為結束而哭泣，微笑吧，因為你曾經擁有。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n◇圖片來源：https://goo.gl/mDFxmO,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1137068059646327/?type=3,Timeline Photos,5,815,92,3/10/2016 19:44
78,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138049952881471,11:50:00 AM,photo,515316421821497_1138049952881471,【午後每日一句】Care less， and you won't be so stressed.少在乎一點，就不會這麼糾結了。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138049952881471/?type=3,Timeline Photos,9,807,89,3/20/2016 20:53
53,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138116316208168,11:50:00 AM,photo,515316421821497_1138116316208168,【午後每日一句】There are two types of pain in this world: pain that hurts you， and pain that changes you.這世界上有兩種疼痛，一種傷害你，一種改變你。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138116316208168/?type=3,Timeline Photos,6,806,98,3/23/2016 22:36
72,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138050216214778,11:50:00 AM,photo,515316421821497_1138050216214778,【午後每日一句】Be happy with what you have， while working for what you want.愉悅地接受擁有的一切，同時要為想擁有的而奮鬥。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138050216214778/?type=3,Timeline Photos,6,803,101,3/21/2016 0:06
128,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138808512805615,11:50:02 AM,photo,515316421821497_1138808512805615,【午後每日一句】Life is not always a matter of holding good cards， but sometimes， playing a poor hand well.人生不只是握有一手好牌，有時候把壞牌打得漂亮才是重點。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n◇圖片來源：https://goo.gl/awo9HT,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138808512805615/?type=3,Timeline Photos,6,781,93,3/12/2016 10:27
84,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1143217299031403,11:50:01 AM,photo,515316421821497_1143217299031403,【午後每日一句】Don’t worry about those who talk behind your back. They are behind you for a reason.不要去介意在你背後指指點點的人。他們在你後面是有原因的。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n圖片來源：https://goo.gl/pn3xL5,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1143217299031403/?type=3,Timeline Photos,7,780,94,3/21/2016 15:21
134,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138277386192061,11:50:00 AM,photo,515316421821497_1138277386192061,【午後每日一句】Life is too short to waste time hating anyone. 生命是如此短暫與美麗，所以不要把時間都浪費在記恨一個人身上。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n◇圖片來源：https://goo.gl/8qD7u9,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138277386192061/?type=3,Timeline Photos,7,773,96,3/10/2016 20:11
25,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1152988248054308,11:50:28 AM,photo,515316421821497_1152988248054308,【午後每日一句】Do it now. Sometimes “later” becomes “never”.及時行動，有時候「等一下」就變成「永遠不會」。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/frbcBA▷iOS：https://goo.gl/XEsLBx◇圖片來源：https://goo.gl/jDVHMI,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1152988248054308/?type=3,Timeline Photos,6,751,82,3/29/2016 11:40
106,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1141552489197884,7:00:00 PM,link,515316421821497_1141552489197884,日常生活中超常看到許多縮寫例句用 e.x. 、對決寫 V.S.但你知道這樣的寫法其實是錯的嗎？最正確的寫法用法，VT 一次教給你！http://goo.gl/CeS4a7,shared_story,http://goo.gl/CeS4a7,【超實用】別再把 e.x. 當成舉例、對決寫成 v.s. 了！這些超常用縮寫，你都寫對了嗎？,3,750,323,3/18/2016 12:17
169,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1134978323188634,11:50:00 AM,photo,515316421821497_1134978323188634,【午後每日一句】Do not pray for a lighter load， but for a stronger back.不要祈求較輕的負荷，而是較強的背脊。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/JJLYPX▷iOS：https://goo.gl/pRZarn圖片來源：https://goo.gl/mDzZSk,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1134978323188634/?type=3,Timeline Photos,4,746,83,3/5/2016 8:14
183,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1133307310022402,11:50:00 AM,photo,515316421821497_1133307310022402,【午後每日一句】Always believe something wonderful is going to happen. Even with all the ups and downs， never take a day for granted. 即使生活總有磕磕絆絆，也要相信美好的事情總會發生，不要虛度任何一天的光陰。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1133307310022402/?type=3,Timeline Photos,5,730,91,3/2/2016 18:28
105,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1141527255867074,9:00:00 PM,link,515316421821497_1141527255867074,live/life/alive/living maybe/may be beside/besidescross/across all right/alright rise/arise/raise總是不知道什麼時候該用哪個？今天就來終結用錯字的窘境！,shared_story,http://goo.gl/s8TiYX,易混淆單字：maybe/may be? all right/alright? rise/arise/raise? 大解析！,5,716,372,3/15/2016 23:55
7,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1155606771125789,11:50:00 AM,photo,515316421821497_1155606771125789,【午後每日一句】It’s nice to be important， but it’s more important to be nice!當重要人物很好，但當個好人更重要！◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/frbcBA▷iOS：https://goo.gl/XEsLBx◇圖片來源：https://goo.gl/QTey16,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1155606771125789/?type=3,Timeline Photos,3,703,56,3/31/2016 17:25
63,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1146450172041449,5:00:00 PM,link,515316421821497_1146450172041449,#挑戰不按翻譯年糕 1， 2， 3， see you!!!更多有趣影片：http://goo.gl/VdVfLr,shared_story,http://gph.is/1OYc9P0,gph.is,11,700,33,3/21/2016 23:40
90,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1143222192364247,11:50:00 AM,photo,515316421821497_1143222192364247,【午後每日一句】Be so busy loving your life that you have no time for hate， regret or fear.忙碌於熱愛你的生活，你就沒有時間怨恨、後悔或恐懼。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n◇圖片來源：https://goo.gl/VqAVaJ,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1143222192364247/?type=3,Timeline Photos,5,693,92,3/18/2016 19:20
104,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1141418555877944,11:50:00 AM,photo,515316421821497_1141418555877944,【午後每日一句】You will have bad time， but they will always wake you up to the stuff you weren’t paying attention to.你會有低潮的時候，但也正因此會讓你注意到你平常沒有留意的美好事物。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n圖片來源：https://goo.gl/863GFi,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1141418555877944/?type=3,Timeline Photos,3,688,93,3/17/2016 0:37
47,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1146561038697029,11:50:01 AM,photo,515316421821497_1146561038697029,【午後每日一句】Time heals nothing unless you move along with it.時間不會治療一切，除非你和它一起前進。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n◇圖片來源：https://goo.gl/qra5Hk,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1146561038697029/?type=3,Timeline Photos,5,658,73,3/25/2016 1:55
98,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1141533905866409,9:00:02 PM,link,515316421821497_1141533905866409,“re” 開頭的單字這麼多一個一個背好痛苦喔！沒關係，VT推出字首 “re” 總整理兩大用法，30 個高頻單字讓你一次掌握，瞬間提升字彙量！>>http://goo.gl/cyJUuQ,shared_story,http://goo.gl/cyJUuQ,字首 “re” 總整理，輕鬆搞定 30 個高頻單字！,4,639,402,3/16/2016 16:52
60,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1146561445363655,9:00:01 PM,link,515316421821497_1146561445363655,elephant in the room 不是房間裡的大象！serve time 也不是叫你去服務！今天教大家常聽到的幾個英文成語讓大家更貼近母語人士的用法,shared_story,http://goo.gl/7w2r5Z,【英文成語】別搞錯，elephant in the room 不是房間裡的大象！serve time 也不是叫你去服務！,2,634,161,3/22/2016 19:00
153,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1136538729699260,9:00:00 PM,link,515316421821497_1136538729699260,常常聽到老師說字首“ex”意思就是「向外的」不過“ex”為字首的單字那麼多難道要一個一個慢慢背嗎？VT幫你整理字首“ex”，三大用法讓你輕鬆背完20個高頻單字！>>http://goo.gl/HinVlD,shared_story,http://goo.gl/HinVlD,字首 “ex” 總整理，輕鬆搞定 20 個高頻單字,0,632,361,3/6/2016 21:00
130,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1137573399595793,7:00:00 PM,link,515316421821497_1137573399595793,英文廣播或許就屬 CNN， BBC 最為人所知，但實際上還有許多優質的廣播可以幫助大家練習聽力，現在就快來增加自己的廣播清單、增進聽力和口說吧！,shared_story,http://goo.gl/Dm9LjB,CNN,1,626,406,3/10/2016 19:13
66,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1146451388707994,11:50:01 AM,photo,515316421821497_1146451388707994,【午後每日一句】When life is sweet， say thank you and celebrate. And when life is bitter， say thank you and grow.當生活很甜美，對它道謝並且慶祝。而當生活很苦澀，仍然對它道謝並且成長。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n◇圖片來源：https://goo.gl/9otOuX,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1146451388707994/?type=3,Timeline Photos,2,622,94,3/22/2016 6:28
97,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138049599548173,11:50:00 AM,photo,515316421821497_1138049599548173,【午後每日一句】In one minute you can change your attitude， and in that minute you can change your entire day. 一分鐘之內你可以改變自己的態度，而這也會改變你的整個人生。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138049599548173/?type=3,Timeline Photos,2,617,61,3/18/2016 0:24
73,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1143662928986840,9:00:00 PM,link,515316421821497_1143662928986840,mono / bi / poly / uni / semi / hemi英文常見的字首輕易的表達了一個 / 兩個 / 好多個 / 在一起 / 還是半個形容數量、整體、一個還是半個的單字多得數不出來了但看完這篇，以後就能秉持中文「用部首猜意思」的原則大略猜到單字的意思啦！,shared_story,http://goo.gl/Hgi2eO,背單字技巧！常見的字首整理：mono/bi/poly/uni/semi/hemi,2,609,358,3/20/2016 22:54
68,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1145927332093733,7:00:00 PM,link,515316421821497_1145927332093733,口說一直是大家最難跨過去的英文障礙！大部份英文 APP 注重聽力和閱讀，卻忽略口說的練習今天 VT 主打英文口說的功能，幫大家找到輕鬆說英文的機會以下精選五款免費英文口說 APP：Wakie、VoiceTube、Toefl Speaking、SpeakABC、Duolingo讓你不會再有聽有懂卻說不出口！http://goo.gl/1gvgs7,shared_story,http://goo.gl/1gvgs7,【推薦】超實用！五款英文口說必備 APP，馬上說出一口好英文！,3,606,421,3/22/2016 22:24
165,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1135067786513021,7:00:00 PM,link,515316421821497_1135067786513021,片語和俚語往往難以從字面上理解但偏偏他們超級實用！我們今天選了一部CNN Student News不學艱深的新聞英文，但精選8個常見片語來看看怎麼樣用出這些片語最道地吧：,shared_story,http://goo.gl/bY2u2l,別以為 go bananas 是去拿香蕉！八個常用片語大集合,4,601,211,3/7/2016 16:10
62,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1146558382030628,7:00:00 PM,link,515316421821497_1146558382030628,說到「東西壞掉」是不是立刻想到 broken ？但日常生活中有很多故障不是 broken！VT 整理了各種不同種類的「壞」，讓你發牢騷時更精確！http://goo.gl/8cLrPi,shared_story,http://goo.gl/8cLrPi,【實用英文】東西故障只會說 broken？車子拋錨、app 閃退又該怎麼說呢？「壞掉」用法大彙整！,2,585,280,3/22/2016 12:55
117,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138197912866675,9:00:02 PM,link,515316421821497_1138197912866675,挑戰你毫不遲疑/ 毫不犯錯的唸出下面單字：1. unfortunately2. characteristic3. technological 4. indistinguishable5. overgeneralization你通通成功了嗎？在哪些字舌頭打結？如果這些看起來長長的單字，讓你感到好害怕可以試試照著以下練習方式，從此克服長單字：,shared_story,http://goo.gl/KuWis2,【VT口說正音班】unfortunately,6,582,239,3/15/2016 12:29
110,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1141377235882076,11:50:00 AM,photo,515316421821497_1141377235882076,【午後每日一句】The biggest communication problem is we do not listen to understand; we listen to reply.最大的溝通問題是，我們不是為了瞭解而傾聽；我們傾聽只是為了回應。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n圖片來源：https://goo.gl/faCQdz,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1141377235882076/?type=3,Timeline Photos,9,571,66,3/21/2016 20:17
35,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1151082131578253,1:00:00 PM,link,515316421821497_1151082131578253,在這競爭 (competitive) 的社會 (society)我們很容易拿別人來跟自己比較 (compare)往往造成極大的壓力，並失去自信和動力 (motivation)來學學如何自我疼惜 (self-compassion)趁這個週末好好替自己充電一下吧！https://goo.gl/WbLLhb,shared_story,https://goo.gl/WbLLhb,你需要學會的人生課題：自我疼惜，善待自己 (Self Compassion),2,564,213,3/30/2016 10:49
118,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138178342868632,7:00:00 PM,link,515316421821497_1138178342868632,聽自己喜歡的歌是學習英文的最好方法選擇百聽不厭的歌曲，重複練習更能訓練聽力及口說！趁著白色情人節即將到來我們精選出4首歌詞別具意義的超人氣愛情歌曲但 ain’t， sweep sb off feet， on my knees你真的都了解意思嗎？列出值得學習用法和片語，讓你一聽就懂意思來一起開心聽歌吧！http://goo.gl/JonWg6,shared_story,http://goo.gl/JonWg6,4首經典不朽愛情歌曲，白色情人節來聽好音樂、學好英文吧,1,563,179,3/15/2016 12:30
